Question,Answer
Могу ли я использовать модуль re Питона для обработки текста ?,"Вы можете использовать любой стандартный модуль Питона, но только тот который уже импортирован в ноутбуке."
Разрешено ли использовать пакеты кроме тех, что уже импортированы в ноутбуке?
Где школа CISS будет проходить?,"Школа CISS проходит на базе Массачусетского Университета, Лоуэлл расположенном в сердце исторической части города Лоуэлл, штат Масачусетст. Информацию о точном месте проведения школы мы сообщим участникам."
Что я буду изучать на школе CISS?, Школа CISS позволит участникам обрести фундаментальные знания и навыки в разговорном AI.
Какие требования для участников при регистрации?,Участники должны быть студентами очной формы обучения в аккредитованных колледжах и вузах.
Могу ли я зарегистрироваться если я прохожу обучение в Магистратуре?,"Да, вы можете зарегистрироваться и отправить ответы на квалификационное задание."
Как я могу получить доступ к квалификационному заданию?,"Для начала зарегистрируйтесь, далее мы вышлем вам линк."
Когда последний день для регистрации?,Последний день регистрации 25 Марта 2019.
Когда вы будете оповещать о зачислении на школу?,Участниики школы будут проинформированы до 5 Апреля 2019.
Могут ли не студенты зарегистрироваться на школу?,Не студенты к сожалению не могут подать заявку.
Могу ли я взять свой ноутбук?,"Конечно, вы можете."
"Будут ли покрыты транспортные расходы, расходы на проживание и суточные?",Участники смогут проживать в РиверНок Виладж резиденции внутри кампуса университет бесплатно. Ограниченное число грантов для покрытия транспортных расходов будет предоставлено.
В каких случаях и для каких работников прохождение медицинского осмотра является обязательным? Кто оплачивает прохождение медицинского осмотра работником? ,"Обязательные медицинские осмотры могут быть предварительными (при поступлении на работу), периодическими (в течение трудовой деятельности), внеочередными (по медицинским показаниям), постоянными (каждый рабочий день/смену)."
Какие обязательства возложены на работодателя по обеспечению работников средствами индивидуальной защиты?,"На работах с вредными и (или) опасными условиями труда, а также на работах, выполняемых в особых температурных условиях или связанных с загрязнением, работодатель обязан бесплатно выдавать работникам специальную одежду, специальную обувь и другие средства индивидуальной защиты, а также смывающие и (или) обезвреживающие средства."
Для каких работников и в каких случаях работодатель обязан проводить инструктажи по охране труда  и обучение по охране труда? Кто вправе проводить инструктаж и обучение по охране труда? Какими документами подтверждается проведение инструктажей и обучения по охране труда?,"Работодатель обязан обеспечить:

- проведение инструктажей по охране труда,

- обучение безопасным методам и приемам выполнения работ, оказанию первой помощи пострадавшим на производстве с проведением в установленных случаях стажировки на рабочем месте,

- проверку знаний требований охраны труда.

 "
"Какие повреждения здоровья в результате несчастного случая на производстве относятся к тяжелым, а какие - к легким?",Приказом Минздравсоцразвития РФ от 24.02.2005 № 160 «Об определении степени тяжести повреждения здоровья при несчастных случаях на производстве» утверждена схема определения степени тяжести повреждения здоровья при несчастных случаях на производстве.
Каков порядок проведения расследования несчастных случаев на производстве? Обязан ли работодатель проводить такое расследование?,"Обязанности работодателя по расследованию возникают в связи с несчастными случаями, произошедшими с лицами, участвующими в производственной деятельности работодателя (работники, практиканты, ученики, лица, выполняющие общественно-полезные работы и др.) при исполнении ими трудовых обязанностей или какой-либо работы по поручению или в интересах работодателя."
Нужно ли проводить специальную оценку условий труда в отношении рабочих мест офисных работников (управленческого персонала)?,"Да, нужно.

Специальная оценка условий труда проводится в отношении условий труда всех работников, работающих у работодателя-организации или работодателя -индивидуального предпринимателя, за исключением только надомников и дистанционных работников.

"
"Для чего, в каком порядке и с какой периодичностью проводится специальная оценка условий труда (СОУТ)? Каковы права и обязанности работника и работодателя в связи с СОУТ?","Специальная оценка условий труда (СОУТ) проводится с целью идентификации вредных и (или) опасных производственных факторов и оценки уровня их воздействия на работника. По результатам СОУТ устанавливаются классы (оптимальные, допустимые, вредные и опасные) и подклассы условий труда на рабочих местах."
"Нужно ли проводить специальную оценку условий труда (СОУТ) в отношении рабочих мест, созданных после проведения очередной СОУТ, ""срок действия"" которой не истек?",Ввод в эксплуатацию вновь организованных рабочих мест является основанием для проведения внеплановой специальной оценки условий труда (СОУТ) в отношении данных рабочих мест. Внеплановая СОУТ должна быть проведена в течение 6 месяцев со дня введения в эксплуатацию новых рабочих мест. 
Какие документы работодатель вправе потребовать от работника при приеме на работу?,"Работодатель вправе потребовать, а работник обязан предъявить:

- паспорт или иной документ, удостоверяющий личность;

- трудовую книжку, за исключением случаев, когда трудовой договор заключается впервые или работник поступает на работу по совместительству;

- страховое свидетельство обязательного пенсионного страхования;

- документы воинского учета – для военнообязанных и лиц, подлежащих призыву на военную службу;

- документ об образовании и (или) о квалификации или наличии специальных знаний – при поступлении на работу, требующую специальных знаний или специальной подготовки;"
Является ли трудовое соглашение между работником и работодателем основанием для возникновения трудовых отношений?,"Если между работником и работодателем заключено трудовое соглашение, на основании  которого работник приступил к выполнению работы,  то такое соглашение будет являться основанием для возникновения трудовых отношений. Вместе с тем следует учитывать, что  Трудовой кодекс РФ предусматривает   возникновение трудовых правоотношений на основании трудового договора."
Какие должности нельзя замещать при наличии судимости в том числе снятой (неснятой) либо погашенной (непогашенной)?,Общий перечень таких работ достаточно широк. Требование об отсутствии судимости для занятия определенной должности устанавливается Трудовым кодексом РФ и другими федеральными законами.
